priority,family,id,name,cadence,recoverability,auth,url,models,notes
P1,innovation_response,epo_ops,EPO Open Patent Services,daily,historical_api,oauth,https://ops.epo.org/3.2/rest-services,innovation;directed_change;dependency,"Bibliographic, legal-event and full-text patent data; free non-paying allowance up to provider limits."
P1,dependency,companies_house,Companies House API,daily,historical_api,api_key,https://api.company-information.service.gov.uk,network_reconstruct;capacity;firm_resolution,"UK firm identity, SIC, location, filing history."
P0,assimilation,sec_edgar,SEC EDGAR submissions/XBRL,hourly,historical_api,none,https://data.sec.gov/submissions/CIK##########.json,lag;capacity;firm_fundamentals,"Requires compliant User-Agent. XBRL APIs update rapidly; filings reveal capex, inventory and narrative."
P0,buffer,nexar_octopart,Nexar / Octopart component supply,hourly,irreversible,oauth,https://api.nexar.com/graphql,shadow;dependency;lag;synergy,"Snapshot selected MPN basket: stock, price, lead time, lifecycle, sellers."
P0,buffer,digikey,DigiKey Product Information,hourly,irreversible,oauth,https://api.digikey.com/products/v4,shadow;dependency;lag;synergy,Selected MPN basket; real-time pricing/availability.
P0,buffer,mouser,Mouser Search API,hourly,irreversible,api_key,https://api.mouser.com/api/v2/search/partnumber,shadow;dependency;lag;synergy,"Availability, lead time, lifecycle, suggested replacements, price breaks."
P0,buffer,element14,Farnell/element14 Product Search,hourly,irreversible,api_key,https://api.element14.com/catalog/products,shadow;dependency;lag;synergy,UK store can return stock/pricing; selected MPN basket.
P0,buffer,ebay_browse,eBay Browse API,hourly,irreversible,oauth,https://api.ebay.com/buy/browse/v1/item_summary/search,secondary_market;hazard;lag,Track selected equipment/components; asking price != realized sale price.
P1,dependency,bgs_minerals,BGS World Mineral Statistics,annual,historical_api,none,https://ogcapi.bgs.ac.uk/v2/collections/prj_ukwm.ukwm_commodity_data_api_web/items,dependency;shadow;capacity,Production/import/export history; mind BGS terms/attribution.
P1,dependency,usgs_minerals,USGS Mineral Commodity Summaries,annual,historical_files,none,https://www.usgs.gov/data/mineral-commodity-summaries-2026-data-release,dependency;shadow;capacity,"Production, imports, exports, price, stocks, apparent consumption and import reliance for >90 minerals."
P1,dependency,ons_io,ONS UK input-output tables,annual,historical_files,none,https://www.ons.gov.uk/economy/nationalaccounts/supplyandusetables/datasets/ukinputoutputanalyticaltablesindustrybyindustry,network;network_reconstruct;shadow,"Coarse structural prior, not component-level ground truth."
P1,dependency,eurostat_figaro,Eurostat FIGARO,annual,historical_files,none,https://ec.europa.eu/eurostat/en/web/esa-supply-use-input-tables/database,network;network_reconstruct;trade_exposure,"2026 edition: 64 industries/products, 2010-2024."
P1,dependency,oecd_icio,OECD ICIO 2025,annual,historical_files,none,https://www.oecd.org/en/data/datasets/inter-country-input-output-tables.html,network;trade_exposure,"Global inter-country IO prior, 1995-2022."
P1,dependency,bea_io,US BEA Input-Output,annual,historical_files,none,https://www.bea.gov/resources/guide-interactive-industry-input-output-accounts-tables,network;network_reconstruct,Detailed US commodity/industry use and requirements tables.
P1,maintenance,open_repair,Open Repair Alliance,release,historical_files,none,https://openrepair.org/open-data/downloads/,hazard;repairability,Seed repair-outcome ontology and failure frequencies.
P1,maintenance,ifixit,iFixit repair guides,weekly,current_api,terms,https://www.ifixit.com/Info/Repair_Guide,hazard;dependency,Non-commercial API access differs from commercial use; confirm terms before productizing.
P0,assimilation,ibkr_l2,Interactive Brokers L2,stream,irreversible,account_subscription,TWS:reqMktDepth,lag;market_assimilation,"Optional licensed layer. Store raw depth deltas/checkpoints, not just bars."
